CMDLINE /home/mark/projects/stanford-cs336/assignment1-basics/.venv/bin/python3 save_vocab.py
MEM 601.371094 1784813049.1070
MEM 601.996094 1784813049.2074
MEM 602.207031 1784813049.3078
MEM 602.843750 1784813049.4083
MEM 603.175781 1784813049.5086
MEM 603.707031 1784813049.6089
MEM 604.183594 1784813049.7092
MEM 604.550781 1784813049.8095
MEM 604.820312 1784813049.9098
MEM 605.339844 1784813050.0101
MEM 605.785156 1784813050.1104
MEM 606.167969 1784813050.2107
MEM 606.742188 1784813050.3109
MEM 606.957031 1784813050.4112
MEM 607.187500 1784813050.5115
MEM 607.523438 1784813050.6118
MEM 607.964844 1784813050.7121
MEM 608.367188 1784813050.8123
MEM 608.738281 1784813050.9126
MEM 609.058594 1784813051.0129
MEM 609.652344 1784813051.1132
MEM 609.867188 1784813051.2134
MEM 610.375000 1784813051.3138
